DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83544,2,,1,1,1,1,1,0,2,2,1,3,1,1,1101.3000009,1101.3000009
83545,2,,1,1,1,1,1,0,2,2,1,3,1,1,887.38884702,887.38884702
83546,2,,1,1,1,1,1,0,2,2,1,3,1,1,768.05406116,768.05406116
83547,2,,1,1,1,1,1,0,2,2,1,3,1,1,908.12764078,908.12764078
83548,2,,1,1,1,1,1,2,1,1,1,3,1,1,432.66386157,432.66386157
83549,2,,1,1,1,2,1,2,1,1,1,3,1,1,827.67075742,827.67075742
83550,2,,1,1,1,1,1,2,1,1,1,3,1,1,344.52092949,344.52092949
83551,2,,1,1,1,1,1,3,1,1,1,3,1,1,501.61864086,501.61864086
83552,2,,1,1,1,1,1,1,1,2,1,3,1,1,659.82054376,659.82054376
83553,2,,1,1,1,2,1,3,1,1,1,3,1,1,900.73713572,900.73713572
83555,2,,1,3,1,1,1,9,2,2,2,,2,1,544.45664942,510.31311876
83556,2,,1,3,1,1,1,9,2,2,2,,2,1,632.70513072,655.69133568
83557,2,,1,3,1,5,1,0,2,2,2,,2,1,501.49332877,527.62108212
83558,2,,1,1,1,1,1,3,1,1,1,3,1,1,806.1813758,806.1813758
83559,2,,1,1,1,1,1,3,1,1,1,3,1,1,580.45059058,580.45059058
83560,2,,1,1,1,1,1,3,1,1,1,3,1,1,596.56580856,596.56580856
83561,2,,1,1,1,1,1,3,1,1,1,3,1,1,801.03350535,801.03350535
83562,2,,1,1,1,1,1,3,1,1,1,3,1,1,1092.7409213,1092.7409213
83563,2,,1,1,1,2,1,2,1,1,1,3,1,1,513.21660596,513.21660596
83564,2,,1,1,1,2,1,2,1,1,1,3,1,1,403.54985659,403.54985659
83565,2,,1,1,1,3,1,1,1,1,1,3,1,1,741.69349269,741.69349269
83566,2,,1,1,1,2,1,0,1,1,1,3,1,1,839.3618742,839.3618742
83567,2,,1,1,1,1,1,2,1,1,1,2,1,1,652.10335187,652.10335187
83568,2,,1,1,1,3,1,1,1,1,1,3,1,1,987.78951738,987.78951738
83569,2,,1,1,1,3,1,1,1,1,1,3,1,1,839.3618742,839.3618742
83570,2,,1,1,1,1,1,1,2,2,1,3,1,1,1066.8126788,1066.8126788
83571,2,,1,1,1,1,1,2,1,2,1,3,1,1,702.74019577,702.74019577
83572,2,,1,3,1,1,2,,2,2,2,,2,1,636.36022689,549.32180915
83573,2,,1,3,1,1,1,9,2,2,2,,2,1,604.16207645,594.41555303
83574,2,,1,1,1,2,1,3,1,1,1,3,1,1,462.35760631,462.35760631
83575,2,,1,1,1,1,1,3,1,1,1,3,1,1,550.65003181,550.65003181
